index	source_board	row	col	image_path
060	Gemini_Generated_Image_mgac9tmgac9tmgac.png	1	3	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0060.jpg
061	Gemini_Generated_Image_mgac9tmgac9tmgac.png	1	4	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0061.jpg
062	Gemini_Generated_Image_mgac9tmgac9tmgac.png	2	1	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0062.jpg
063	Gemini_Generated_Image_mgac9tmgac9tmgac.png	2	2	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0063.jpg
064	Gemini_Generated_Image_mgac9tmgac9tmgac.png	2	3	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0064.jpg
065	Gemini_Generated_Image_mgac9tmgac9tmgac.png	2	4	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0065.jpg
066	Gemini_Generated_Image_mgac9tmgac9tmgac.png	3	1	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0066.jpg
067	Gemini_Generated_Image_mgac9tmgac9tmgac.png	3	2	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0067.jpg
068	Gemini_Generated_Image_mgac9tmgac9tmgac.png	3	3	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0068.jpg
069	Gemini_Generated_Image_mgac9tmgac9tmgac.png	3	4	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0069.jpg
070	Gemini_Generated_Image_3a4flb3a4flb3a4f.png	1	1	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0070.jpg
071	Gemini_Generated_Image_3a4flb3a4flb3a4f.png	1	2	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0071.jpg
072	Gemini_Generated_Image_3a4flb3a4flb3a4f.png	1	3	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0072.jpg
073	Gemini_Generated_Image_3a4flb3a4flb3a4f.png	1	4	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0073.jpg
074	Gemini_Generated_Image_3a4flb3a4flb3a4f.png	2	1	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0074.jpg
075	Gemini_Generated_Image_3a4flb3a4flb3a4f.png	2	2	build_frames/lineup_unique_art2/frames_1080p_jpg/frame_0075.jpg
